,,,,Historical VaR,,,,,,,,,
7.59538465,0,0.255515719,,0.255515719,,,,,,,,,8.141284479
10.4438814,5.919871041,5.687171566,,5.687171566,,,,,,,,,VaR= Vm*Vi/Vi-1
8.704878263,9.766155485,5.906469925,,5.906469925,,,,,,,,,At 90% confidence: (112/10)th value = 11th value
8.34510947,8.49092625,6.007541509,,6.007541509,,,,,,,,,VaR=6.526miles
8.300248579,8.183994785,6.084849162,,6.084849162,,,,,,,,,
7.891975643,8.561103897,6.339275418,,6.339275418,,,,,,,,,
9.576700878,6.708017986,6.387408581,,6.387408581,,,,,,,,,
9.042836033,8.620563821,6.420886959,,6.420886959,,,,,,,,,
9.308545811,7.907646028,6.502446212,,6.502446212,,,,,,,,,
7.668878335,9.880397053,6.525004745,,6.525004745,,,,,,,,,
9.285372296,6.722904333,6.526751585,,6.526751585,,,,,,,,,
7.560754403,9.996744566,6.539947864,,6.539947864,,,,,,,,,
8.068959841,7.627320256,6.602614158,,6.602614158,,,,,,,,,
7.786149086,8.43566343,6.604460933,,6.604460933,,,,,,,,,
9.58793509,6.610313166,6.610313166,,6.610313166,,,,,,,,,
7.445125105,10.48280459,6.657151202,,6.657151202,,,,,,,,,
7.435911357,8.150086176,6.676256861,,6.676256861,,,,,,,,,
9.385048449,6.449441234,6.767538792,,6.767538792,,,,,,,,,
9.056797142,8.43502324,6.826522675,,6.826522675,,,,,,,,,
8.986857733,8.203348815,6.848282533,,6.848282533,,,,,,,,,
7.802663322,9.375391315,6.896541398,,6.896541398,,,,,,,,,
9.430900309,6.734635863,6.964481752,,6.964481752,,,,,,,,,
7.514779037,10.21554036,6.987075917,,6.987075917,,,,,,,,,
7.133050118,8.57561637,7.031692175,,7.031692175,,,,,,,,,
7.296823752,7.957301688,7.036057497,,7.036057497,,,,,,,,,
8.730896788,6.802983334,7.149857702,,7.149857702,,,,,,,,,
8.763839622,8.109402148,7.330198236,,7.330198236,,,,,,,,,
9.302200107,7.668901303,7.342328501,,7.342328501,,,,,,,,,
9.170629323,8.256784372,7.39858523,,7.39858523,,,,,,,,,
9.13191232,8.174511545,7.398671939,,7.398671939,,,,,,,,,
9.160434089,8.114655437,7.456641032,,7.456641032,,,,,,,,,
9.389224071,7.941650228,7.546705513,,7.546705513,,,,,,,,,
9.314580709,8.205230737,7.553855494,,7.553855494,,,,,,,,,
8.25424453,9.185660383,7.604422015,,7.604422015,,,,,,,,,
9.390567464,7.155004288,7.620615385,,7.620615385,,,,,,,,,
8.33534185,9.170496008,7.626503242,,7.626503242,,,,,,,,,
8.484148113,7.997229864,7.646175604,,7.646175604,,,,,,,,,
9.065554001,7.617953148,7.654020405,,7.654020405,,,,,,,,,
8.969282255,8.227370649,7.657245168,,7.657245168,,,,,,,,,
9.531492023,7.659866617,7.678715431,,7.678715431,,,,,,,,,
9.204970256,8.428744788,7.723766619,,7.723766619,,,,,,,,,
9.69816981,7.726041032,7.726041032,,7.726041032,,,,,,,,,
8.94944385,8.821006487,7.775355711,,7.775355711,,,,,,,,,
8.9690129,8.122239733,7.798559519,,7.798559519,,,,,,,,,
8.66857788,8.422115602,7.8362555,,7.8362555,,,,,,,,,
8.962833936,7.872758153,7.889853975,,7.889853975,,,,,,,,,
9.233357149,7.901510476,7.901510476,,7.901510476,,,,,,,,,
