SETTLEMENT_PERIOD,halfhourlysolar,halfhourlywind,halfhourlydemand,,,,,,,,,,,,,,,,,
00:00,0,1401.021918,21299.63288,,,,,,,,,,,,,,,SETTLEMENT_PERIOD,,halfhourlydemand
00:30,0,1393.482192,21140.68767,,,,,,,,,,,,,,,00:00,,21299.63288
01:00,0,1394.693151,20867.73973,,,,,,,,,,,,,,,00:30,,21140.68767
01:30,0,1395.361644,20676.03562,,,,,,,,,,,,,,,01:00,,20867.73973
02:00,0,1397.59726,20345.74247,,,,,,,,,,,,,,,01:30,,20676.03562
02:30,0,1399.391781,19995.69041,,,,,,,,,,,,,,,02:00,,20345.74247
03:00,0,1400.435616,19702.24384,,,,,,,,,,,,,,,02:30,,19995.69041
03:30,0,1400.983562,19462.08767,,,,,,,,,,,,,,,03:00,,19702.24384
04:00,0,1403.153425,19360.79452,,,,,,,,,,,,,,,03:30,,19462.08767
04:30,0.139726027,1404.852055,19352.16712,,,,,,,,,,,,,,,04:00,,19360.79452
05:00,6.057534247,1405.90411,19748.71507,,,,,,,,,,,,,,,04:30,,19352.16712
05:30,38.42739726,1406.454795,20387.12877,,,,,,,,,,,,,,,05:00,,19748.71507
06:00,115.8657534,1406.158904,22056.92055,,,,,,,,,,,,,,,05:30,,20387.12877
06:30,257.9561644,1405.350685,23544.05479,,,,,,,,,,,,,,,06:00,,22056.92055
07:00,482.1232877,1411.383562,25362.55068,,,,,,,,,,,,,,,06:30,,23544.05479
07:30,791.4191781,1416.953425,26447.4,,,,,,,,,,,,,,,07:00,,25362.55068
08:00,1186.208219,1449.471233,27479.81096,,,,,,,,,,,,,,,07:30,,26447.4
08:30,1661.427397,1481.523288,27929.92329,,,,,,,,,,,,,,,08:00,,27479.81096
09:00,2178.575342,1517.967123,28305.03562,,,,,,,,,,,,,,,08:30,,27929.92329
09:30,2677.189041,1553.953425,28279.50137,,,,,,,,,,,,,,,09:00,,28305.03562
10:00,3128.572603,1594.438356,28147.8411,,,,,,,,,,,,,,,09:30,,28279.50137
10:30,3515.30411,1634.452055,27992.23562,,,,,,,,,,,,,,,10:00,,28147.8411
11:00,3821.852055,1664.49863,27899.87945,,,,,,,,,,,,,,,10:30,,27992.23562
11:30,4031.106849,1694.046575,27853.31233,,,,,,,,,,,,,,,11:00,,27899.87945
12:00,4138.893151,1714.019178,28032.90137,,,,,,,,,,,,,,,11:30,,27853.31233
12:30,4150.649315,1733.536986,27939.15616,,,,,,,,,,,,,,,12:00,,28032.90137
13:00,4075.465753,1749.394521,27768.00548,,,,,,,,,,,,,,,12:30,,27939.15616
13:30,3932.380822,1764.772603,27468.79726,,,,,,,,,,,,,,,13:00,,27768.00548
14:00,3704.679452,1762.158904,27403.68493,,,,,,,,,,,,,,,13:30,,27468.79726
14:30,3386.561644,1759.063014,27368.48767,,,,,,,,,,,,,,,14:00,,27403.68493
15:00,3012.942466,1740.717808,27594.43562,,,,,,,,,,,,,,,14:30,,27368.48767
15:30,2626.635616,1721.876712,28168.86575,,,,,,,,,,,,,,,15:00,,27594.43562
16:00,2244.323288,1695.791781,29057.68493,,,,,,,,,,,,,,,15:30,,28168.86575
16:30,1843.928767,1669.243836,30126.58082,,,,,,,,,,,,,,,16:00,,29057.68493
17:00,1452.545205,1640.641096,31098.51507,,,,,,,,,,,,,,,16:30,,30126.58082
17:30,1100.183562,1611.539726,31638.64658,,,,,,,,,,,,,,,17:00,,31098.51507
18:00,796.7945205,1580.819178,31855.27945,,,,,,,,,,,,,,,17:30,,31638.64658
18:30,538.3041096,1549.60274,31748.42466,,,,,,,,,,,,,,,18:00,,31855.27945
19:00,325.769863,1521.978082,31374.94795,,,,,,,,,,,,,,,18:30,,31748.42466
19:30,170.0109589,1493.873973,30764.80274,,,,,,,,,,,,,,,19:00,,31374.94795
20:00,71.58356164,1474.742466,30072.64658,,,,,,,,,,,,,,,19:30,,30764.80274
20:30,19.24657534,1455.117808,29256.05753,,,,,,,,,,,,,,,20:00,,30072.64658
21:00,2.093150685,1445.712329,28314.92877,,,,,,,,,,,,,,,20:30,,29256.05753
21:30,0.312328767,1435.805479,27177.56438,,,,,,,,,,,,,,,21:00,,28314.92877
22:00,0.142465753,1432.520548,25904.61918,,,,,,,,,,,,,,,21:30,,27177.56438
22:30,0.010958904,1428.750685,24496.07671,,,,,,,,,,,,,,,22:00,,25904.61918
23:00,0,1412.085165,23027.96978,,,,,,,,,,,,,,,22:30,,24496.07671
23:30,0,1403.093407,21924.25,,,,,,,,,,,,,,,23:00,,23027.96978
,,,,,,,,,,,,,,,,,,23:30,,21924.25
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Solar,Wind,Demand,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
00:00-05:00,6.197260274,15396.87671,221951.537,,,,,,,,,,,,,,,,,
05:00-10:00,12517.76438,14643.65479,257940.1671,,,,,,,,,,,,,,,,,
10:00-15:00,37769.83562,17216.66027,277320.8959,,,,,,,,,,,,,,,,,
15:00-20:00,11170.07945,15960.10959,305906.3945,,,,,,,,,,,,,,,,,
20:00-24:00,93.3890411,11487.82789,210174.1129,,,,,,,,,,,,,,,,,
