"SETTLEMENT_PERIOD","halfhourlysolar","halfhourlywind","demand"
1,0,1401.02191780822,26130
1,0,1401.02191780822,23242
1,0,1401.02191780822,24296
1,0,1401.02191780822,23137
1,0,1401.02191780822,24994
1,0,1401.02191780822,25767
1,0,1401.02191780822,26843
1,0,1401.02191780822,27155
1,0,1401.02191780822,26990
1,0,1401.02191780822,25764
1,0,1401.02191780822,23529
1,0,1401.02191780822,22956
1,0,1401.02191780822,25576
1,0,1401.02191780822,24797
1,0,1401.02191780822,25826
1,0,1401.02191780822,24761
1,0,1401.02191780822,23151
1,0,1401.02191780822,22956
1,0,1401.02191780822,22843
1,0,1401.02191780822,21600
1,0,1401.02191780822,22830
1,0,1401.02191780822,24325
1,0,1401.02191780822,25186
1,0,1401.02191780822,25502
1,0,1401.02191780822,24505
1,0,1401.02191780822,25898
1,0,1401.02191780822,24965
1,0,1401.02191780822,24472
1,0,1401.02191780822,22631
1,0,1401.02191780822,23497
1,0,1401.02191780822,23975
1,0,1401.02191780822,24442
1,0,1401.02191780822,24999
1,0,1401.02191780822,23350
1,0,1401.02191780822,24616
1,0,1401.02191780822,24348
1,0,1401.02191780822,24405
1,0,1401.02191780822,22830
1,0,1401.02191780822,22818
1,0,1401.02191780822,26112
1,0,1401.02191780822,26089
1,0,1401.02191780822,27666
1,0,1401.02191780822,26744
1,0,1401.02191780822,26128
1,0,1401.02191780822,24738
1,0,1401.02191780822,23925
1,0,1401.02191780822,22662
1,0,1401.02191780822,23343
1,0,1401.02191780822,21491
1,0,1401.02191780822,23188
1,0,1401.02191780822,21246
1,0,1401.02191780822,20620
1,0,1401.02191780822,22609
1,0,1401.02191780822,22423
1,0,1401.02191780822,19973
1,0,1401.02191780822,21630
1,0,1401.02191780822,23772
1,0,1401.02191780822,23848
1,0,1401.02191780822,23072
1,0,1401.02191780822,22562
1,0,1401.02191780822,24115
1,0,1401.02191780822,24577
1,0,1401.02191780822,24647
1,0,1401.02191780822,24543
1,0,1401.02191780822,25068
1,0,1401.02191780822,24596
1,0,1401.02191780822,23647
1,0,1401.02191780822,24161
1,0,1401.02191780822,21312
1,0,1401.02191780822,21171
1,0,1401.02191780822,21397
1,0,1401.02191780822,21306
1,0,1401.02191780822,22016
1,0,1401.02191780822,21422
1,0,1401.02191780822,23945
1,0,1401.02191780822,23117
1,0,1401.02191780822,23624
1,0,1401.02191780822,22547
1,0,1401.02191780822,23566
1,0,1401.02191780822,21616
1,0,1401.02191780822,22627
1,0,1401.02191780822,23251
1,0,1401.02191780822,22074
1,0,1401.02191780822,22122
1,0,1401.02191780822,20248
1,0,1401.02191780822,20828
1,0,1401.02191780822,19043
1,0,1401.02191780822,18074
1,0,1401.02191780822,20678
1,0,1401.02191780822,20049
1,0,1401.02191780822,18253
1,0,1401.02191780822,20925
1,0,1401.02191780822,19847
1,0,1401.02191780822,21575
1,0,1401.02191780822,17586
1,0,1401.02191780822,20501
1,0,1401.02191780822,22473
1,0,1401.02191780822,22781
1,0,1401.02191780822,20485
1,0,1401.02191780822,22206
1,0,1401.02191780822,22026
1,0,1401.02191780822,21869
1,0,1401.02191780822,23299
1,0,1401.02191780822,22907
1,0,1401.02191780822,22633
1,0,1401.02191780822,23088
1,0,1401.02191780822,22557
1,0,1401.02191780822,21544
1,0,1401.02191780822,20755
1,0,1401.02191780822,21291
1,0,1401.02191780822,20915
1,0,1401.02191780822,21601
1,0,1401.02191780822,21102
1,0,1401.02191780822,20675
