date,settlement_period,capacity
01-Jan-21,1,26130
01-Jan-21,2,26281
01-Jan-21,3,25557
01-Jan-21,4,24792
01-Jan-21,5,23933
01-Jan-21,6,23284
01-Jan-21,7,22666
01-Jan-21,8,22162
01-Jan-21,9,21797
01-Jan-21,10,21512
01-Jan-21,11,21527
01-Jan-21,12,21483
01-Jan-21,13,22125
01-Jan-21,14,22485
01-Jan-21,15,23054
01-Jan-21,16,23237
01-Jan-21,17,23791
01-Jan-21,18,24643
01-Jan-21,19,25916
01-Jan-21,20,27137
01-Jan-21,21,28257
01-Jan-21,22,29088
01-Jan-21,23,29983
01-Jan-21,24,30545
01-Jan-21,25,31311
01-Jan-21,26,31754
01-Jan-21,27,32008
01-Jan-21,28,31969
01-Jan-21,29,32095
01-Jan-21,30,32134
01-Jan-21,31,32315
01-Jan-21,32,32914
01-Jan-21,33,34107
01-Jan-21,34,35786
01-Jan-21,35,36198
01-Jan-21,36,36037
01-Jan-21,37,35341
01-Jan-21,38,34197
01-Jan-21,39,33098
01-Jan-21,40,31960
01-Jan-21,41,30948
01-Jan-21,42,30085
01-Jan-21,43,29026
01-Jan-21,44,28031
01-Jan-21,45,27000
01-Jan-21,46,25866
01-Jan-21,47,24265
01-Jan-21,48,23358
02-Jan-21,1,23242
02-Jan-21,2,23572
02-Jan-21,3,23254
02-Jan-21,4,22820
02-Jan-21,5,22427
02-Jan-21,6,21980
02-Jan-21,7,21651
02-Jan-21,8,21264
02-Jan-21,9,20983
02-Jan-21,10,20829
02-Jan-21,11,21161
02-Jan-21,12,21422
02-Jan-21,13,22421
02-Jan-21,14,23147
02-Jan-21,15,24067
02-Jan-21,16,24600
02-Jan-21,17,25736
02-Jan-21,18,27025
02-Jan-21,19,28249
02-Jan-21,20,29049
02-Jan-21,21,29570
02-Jan-21,22,29962
02-Jan-21,23,30224
02-Jan-21,24,30818
02-Jan-21,25,31453
02-Jan-21,26,31845
02-Jan-21,27,32374
02-Jan-21,28,32391
02-Jan-21,29,32718
02-Jan-21,30,33030
02-Jan-21,31,33541
02-Jan-21,32,34044
02-Jan-21,33,35404
02-Jan-21,34,37261
02-Jan-21,35,37965
02-Jan-21,36,38005
02-Jan-21,37,37293
02-Jan-21,38,36480
02-Jan-21,39,35627
02-Jan-21,40,34197
02-Jan-21,41,33119
02-Jan-21,42,31926
02-Jan-21,43,30844
02-Jan-21,44,29598
02-Jan-21,45,28201
02-Jan-21,46,26852
02-Jan-21,47,25310
02-Jan-21,48,24592
03-Jan-21,1,24296
03-Jan-21,2,24494
03-Jan-21,3,24230
03-Jan-21,4,23606
03-Jan-21,5,23079
03-Jan-21,6,22613
03-Jan-21,7,22067
03-Jan-21,8,21427
03-Jan-21,9,21087
03-Jan-21,10,20846
03-Jan-21,11,20905
03-Jan-21,12,20914
03-Jan-21,13,21727
03-Jan-21,14,22205
03-Jan-21,15,23033
03-Jan-21,16,23471
03-Jan-21,17,24421
03-Jan-21,18,25928
03-Jan-21,19,27471
03-Jan-21,20,28775
03-Jan-21,21,29863
03-Jan-21,22,30457
03-Jan-21,23,31010
03-Jan-21,24,31353
03-Jan-21,25,31883
03-Jan-21,26,32307
03-Jan-21,27,32340
03-Jan-21,28,32503
03-Jan-21,29,32781
03-Jan-21,30,33151
03-Jan-21,31,34009
03-Jan-21,32,34854
03-Jan-21,33,36600
03-Jan-21,34,38174
03-Jan-21,35,38703
03-Jan-21,36,38546
03-Jan-21,37,37798
03-Jan-21,38,36493
03-Jan-21,39,35016
03-Jan-21,40,33593
03-Jan-21,41,32597
03-Jan-21,42,31263
03-Jan-21,43,29948
03-Jan-21,44,28632
03-Jan-21,45,27310
03-Jan-21,46,25730
03-Jan-21,47,24353
03-Jan-21,48,23289
04-Jan-21,1,23137
04-Jan-21,2,23770
04-Jan-21,3,23582
04-Jan-21,4,23039
04-Jan-21,5,22454
04-Jan-21,6,22163
04-Jan-21,7,21940
04-Jan-21,8,21599
04-Jan-21,9,21512
04-Jan-21,10,21626
04-Jan-21,11,22190
04-Jan-21,12,23143
04-Jan-21,13,25390
04-Jan-21,14,27445
04-Jan-21,15,29816
04-Jan-21,16,31592
04-Jan-21,17,33572
04-Jan-21,18,34923
04-Jan-21,19,36005
04-Jan-21,20,36454
04-Jan-21,21,36586
04-Jan-21,22,36668
04-Jan-21,23,37102
04-Jan-21,24,37148
04-Jan-21,25,37517
04-Jan-21,26,37680
04-Jan-21,27,38174
04-Jan-21,28,38133
04-Jan-21,29,38308
04-Jan-21,30,38222
04-Jan-21,31,38100
04-Jan-21,32,38569
04-Jan-21,33,39588
04-Jan-21,34,40775
04-Jan-21,35,41069
04-Jan-21,36,40846
04-Jan-21,37,40544
04-Jan-21,38,39905
04-Jan-21,39,38736
04-Jan-21,40,37412
04-Jan-21,41,35445
04-Jan-21,42,34331
04-Jan-21,43,33101
04-Jan-21,44,31482
04-Jan-21,45,29692
04-Jan-21,46,27980
04-Jan-21,47,26426
04-Jan-21,48,25152
05-Jan-21,1,24994
05-Jan-21,2,25337
