settlement_period,Current Demand ,vehicle_availiblity_function,At 80%,At 50% ,At 30%,Forecasted Demand with 80% EV,Forecasted Demand with 50% EV,Forecasted Demand with 80% EV
00:00,21299.63288,0.484848485,11297.55006,7054.206061,4231.278875,68777.50538,50944.88288,39081.55178
00:30,21140.68767,0.606060606,14121.93758,8817.757576,5289.098594,68618.56017,50785.93767,38922.60657
01:00,20867.73973,0.666666667,15534.13133,9699.533333,5818.008453,68345.61223,50512.98973,38649.65863
01:30,20676.03562,0.787878788,18358.51885,11463.08485,6875.828172,68153.90812,50321.28562,38457.95452
02:00,20345.74247,0.848484848,19770.71261,12344.86061,7404.738032,67823.61497,49990.99247,38127.66137
02:30,19995.69041,0.878787879,20476.80948,12785.74848,7669.192961,67473.56291,49640.94041,37777.60931
03:00,19702.24384,0.939393939,21889.00324,13667.52424,8198.102821,67180.11634,49347.49384,37484.16274
03:30,19462.08767,0.954545455,22242.05168,13887.96818,8330.330285,66939.96017,49107.33767,37244.00657
04:00,19360.79452,0.997,23231.29341,14505.6521,8700.831642,66838.66702,49006.04452,37142.71342
04:30,19352.16712,0.787878788,18358.51885,11463.08485,6875.828172,66830.03962,48997.41712,37134.08602
05:00,19748.71507,0.606060606,14121.93758,8817.757576,5289.098594,67226.58757,49393.96507,37530.63397
05:30,20387.12877,0.303030303,7060.968788,4408.878788,2644.549297,67865.00127,50032.37877,38169.04767
06:00,22056.92055,0.060606061,1412.193758,881.7757576,528.9098594,69534.79305,51702.17055,39838.83945
06:30,23544.05479,0.121212121,2824.387515,1763.551515,1057.819719,71021.92729,53189.30479,41325.97369
07:00,25362.55068,0.151515152,3530.484394,2204.439394,1322.274648,72840.42318,55007.80068,43144.46958
07:30,26447.4,0.272727273,6354.871909,3967.990909,2380.094367,73925.2725,56092.65,44229.3189
08:00,27479.81096,0.303030303,7060.968788,4408.878788,2644.549297,74957.68346,57125.06096,45261.72986
08:30,27929.92329,0.196969697,4589.629712,2865.771212,1718.957043,75407.79579,57575.17329,45711.84219
09:00,28305.03562,0.166666667,3883.532833,2424.883333,1454.502113,75782.90812,57950.28562,46086.95452
09:30,28279.50137,0.327272727,7625.846291,4761.589091,2856.113241,75757.37387,57924.75137,46061.42027
10:00,28147.8411,0.212121212,4942.678152,3086.215152,1851.184508,75625.7136,57793.0911,45929.76
10:30,27992.23562,0.090909091,2118.290636,1322.663636,793.3647891,75470.10812,57637.48562,45774.15452
11:00,27899.87945,0.04478,1043.427602,651.517654,390.7956278,75377.75195,57545.12945,45681.79835
11:30,27853.31233,0.090909091,2118.290636,1322.663636,793.3647891,75331.18483,57498.56233,45635.23123
12:00,28032.90137,0.181818182,4236.581273,2645.327273,1586.729578,75510.77387,57678.15137,45814.82027
12:30,27939.15616,0.212121212,4942.678152,3086.215152,1851.184508,75417.02866,57584.40616,45721.07506
13:00,27768.00548,0.196969697,4589.629712,2865.771212,1718.957043,75245.87798,57413.25548,45549.92438
13:30,27468.79726,0.16969697,3954.142521,2468.972121,1480.947606,74946.66976,57114.04726,45250.71616
14:00,27403.68493,0.145454545,3389.265018,2116.261818,1269.383663,74881.55743,57048.93493,45185.60383
14:30,27368.48767,0.133333333,3106.826267,1939.906667,1163.601691,74846.36017,57013.73767,45150.40657
15:00,27594.43562,0.121212121,2824.387515,1763.551515,1057.819719,75072.30812,57239.68562,45376.35452
15:30,28168.86575,0.109090909,2541.948764,1587.196364,952.0377469,75646.73825,57814.11575,45950.78465
16:00,29057.68493,0.096969697,2259.510012,1410.841212,846.255775,76535.55743,58702.93493,46839.60383
16:30,30126.58082,0.084848485,1977.071261,1234.486061,740.4738032,77604.45332,59771.83082,47908.49972
17:00,31098.51507,0.012121212,282.4387515,176.3551515,105.7819719,78576.38757,60743.76507,48880.43397
17:30,31638.64658,0.075757576,1765.242197,1102.219697,661.1373242,79116.51908,61283.89658,49420.56548
18:00,31855.27945,0.181818182,4236.581273,2645.327273,1586.729578,79333.15195,61500.52945,49637.19835
18:30,31748.42466,0.303030303,7060.968788,4408.878788,2644.549297,79226.29716,61393.67466,49530.34356
19:00,31374.94795,0.424242424,9885.356303,6172.430303,3702.369016,78852.82045,61020.19795,49156.86685
19:30,30764.80274,0.378787879,8826.210985,5511.098485,3305.686621,78242.67524,60410.05274,48546.72164
20:00,30072.64658,0.351515152,8190.723794,5114.299394,3067.677184,77550.51908,59717.89658,47854.56548
20:30,29256.05753,0.227878788,5309.848528,3315.476848,1988.701071,76733.93003,58901.30753,47037.97643
21:00,28314.92877,0.181818182,4236.581273,2645.327273,1586.729578,75792.80127,57960.17877,46096.84767
21:30,27177.56438,0.16969697,3954.142521,2468.972121,1480.947606,74655.43688,56822.81438,44959.48328
22:00,25904.61918,0.145454545,3389.265018,2116.261818,1269.383663,73382.49168,55549.86918,43686.53808
22:30,24496.07671,0.109090909,2541.948764,1587.196364,952.0377469,71973.94921,54141.32671,42277.99561
23:00,23027.96978,0.084848485,1977.071261,1234.486061,740.4738032,70505.84228,52673.21978,40809.88868
23:30,21924.25,0.060606061,1412.193758,881.7757576,528.9098594,69402.1225,51569.5,39706.1689
