Available,Charging
1002200,1600
1000200,1000
999000,400
998100,400
997600,200
997400,200
996800,200
996700,100
996600,100
996300,100
995900,200
995400,200
995300,100
1045300,1600
1043500,1200
1041900,800
1040900,700
1040600,100
1045300,1600
1043500,1200
1041900,800
1040900,700
1040600,100
647600,600
647500,100
3790100,30100
3730000,33200
3671100,30600
3608500,32200
3539500,37200
3467800,38500
3395000,38300
3327200,35500
3258900,37000
3195700,33200
3131900,35300
3063000,37000
2995400,36700
2927800,33700
2862700,33800
2786800,38100
2708500,41100
2623900,42100
2545300,39200
2470800,37600
2396500,39800
2320100,38200
2244900,40100
2167600,39600
2089500,42300
2003500,44900
1915800,43600
1832300,44600
1759600,38800
1686700,40100
1603800,45200
1528900,38400
1465200,34700
1395100,38300
1327700,38000
1255300,37100
1183700,38200
1104400,39700
1036100,35400
969700,36100
902200,37200
831400,35900
769800,36100
695900,40600
632300,34700
563200,37800
487200,40200
412400,37600
346100,34800
278900,38300
195900,42700
120100,36300
63000,29500
26000,19000
13500,5700
3400,4900
700,1800
