,Available,Charging
0,102435,514
1,101317,563
2,100216,586
3,99042,618
4,97948,572
5,96844,589
6,95708,615
7,94535,612
8,93320,624
9,92143,624
10,91053,588
11,89930,599
12,88714,652
13,87572,588
14,86464,590
15,85454,550
16,84336,611
17,83251,587
18,82182,593
19,81022,612
20,79805,637
21,78603,648
22,77423,611
23,76238,629
24,75017,626
25,73845,624
26,72646,615
27,71436,617
28,70290,601
29,69132,626
30,67995,595
31,66900,588
32,65895,563
33,64761,583
34,63618,613
35,62418,642
36,61209,624
37,59934,645
38,58763,610
39,57562,605
40,56429,584
41,55283,627
42,54138,596
43,52825,705
44,51512,692
45,50342,590
46,49267,580
47,48085,615
48,46900,612
49,45758,626
50,44562,637
51,43411,601
52,42312,608
53,41176,600
54,40000,612
55,38887,605
56,37811,592
57,36586,614
58,35500,586
59,34334,614
60,33080,627
61,31993,567
62,30957,559
63,29689,668
64,28577,603
65,27394,613
66,26135,666
67,24831,674
68,23669,609
69,22528,617
70,21447,578
71,20242,620
72,19213,581
73,18080,602
74,16718,695
75,15580,612
76,14298,666
77,13057,650
78,11852,612
79,10583,680
80,9322,642
81,8122,613
82,6875,629
83,5714,639
84,4535,637
85,3348,606
86,2279,552
87,1395,452
88,757,295
89,365,206
90,118,110
91,9,52
92,1,2
93,1,0
