demand_30,solar,wind,v2g_30
29079.46896,0,21465.02096,4231.278875
31903.85648,0,21349.50501,5289.098594
33316.05023,0,21368.05808,5818.008453
36140.43775,0,21378.30004,6875.828172
37552.63151,0,21412.55187,7404.738032
38258.72838,0,21440.04567,7669.192961
39670.92214,0,21456.03825,8198.102821
40023.97058,0,21464.4333,8330.330285
41013.21231,0,21497.67772,8700.831642
36140.43775,0.80118135,21523.70239,6875.828172
31903.85648,34.73356793,21539.82089,5289.098594
24842.88769,220.3405806,21548.25792,2644.549297
19194.11266,664.3678522,21543.72459,528.9098594
20606.30642,1479.106447,21531.34189,1057.819719
21312.40329,2764.468393,21623.77144,1322.274648
24136.79081,4537.954003,21709.10716,2380.094367
24842.88769,6801.652633,22207.31167,2644.549297
22371.54861,9526.533241,22698.38038,1718.957043
21665.45173,12491.83109,23256.73546,1454.502113
25407.76519,15350.85459,23808.08066,2856.113241
22724.59705,17939.06309,24428.34926,1851.184508
19900.20954,20156.56026,25041.39811,793.3647891
18825.3465,21914.28931,25501.74092,390.7956278
19900.20954,23114.14478,25954.44424,793.3647891
22018.50017,23732.1855,26260.44397,1586.729578
22724.59705,23799.5947,26559.47581,1851.184508
22371.54861,23368.49629,26802.42869,1718.957043
21736.06142,22548.05517,27038.03589,1480.947606
21171.18392,21242.42805,26997.99148,1269.383663
20888.74517,19418.35805,26950.55943,1163.601691
20606.30642,17276.04625,26669.493,1057.819719
20323.86766,15060.98404,26380.82905,952.0377469
20041.42891,12868.82619,25981.18249,846.255775
19758.99016,10572.98605,25574.4421,740.4738032
18064.35765,8328.814252,25136.22025,105.7819719
19547.1611,6308.391982,24690.35891,661.1373242
22018.50017,4568.775921,24219.69018,1586.729578
24842.88769,3086.606133,23741.42393,2644.549297
27667.2752,1867.946462,23318.18726,3702.369016
26608.12988,974.83348,22887.60491,3305.686621
25972.64269,410.4562021,22594.49159,3067.677184
23091.76743,110.3588036,22293.82271,1988.701071
22018.50017,12.00201081,22149.7216,1586.729578
21736.06142,1.790875958,21997.93901,1480.947606
21171.18392,0.816890788,21947.61066,1269.383663
20323.86766,0.062837753,21889.85269,952.0377469
19758.99016,0,21634.52068,740.4738032
19194.11266,0,21496.75818,528.9098594
