demand_50,v2g_50,solar,wind
40942.80006,7054.206061,0,21465.02096
43767.18758,8817.757576,0,21349.50501
45179.38133,9699.533333,0,21368.05808
48003.76885,11463.08485,0,21378.30004
49415.96261,12344.86061,0,21412.55187
50122.05948,12785.74848,0,21440.04567
51534.25324,13667.52424,0,21456.03825
51887.30168,13887.96818,0,21464.4333
52876.54341,14505.6521,0,21497.67772
48003.76885,11463.08485,0.80118135,21523.70239
43767.18758,8817.757576,34.73356793,21539.82089
36706.21879,4408.878788,220.3405806,21548.25792
31057.44376,881.7757576,664.3678522,21543.72459
32469.63752,1763.551515,1479.106447,21531.34189
33175.73439,2204.439394,2764.468393,21623.77144
36000.12191,3967.990909,4537.954003,21709.10716
36706.21879,4408.878788,6801.652633,22207.31167
34234.87971,2865.771212,9526.533241,22698.38038
33528.78283,2424.883333,12491.83109,23256.73546
37271.09629,4761.589091,15350.85459,23808.08066
34587.92815,3086.215152,17939.06309,24428.34926
31763.54064,1322.663636,20156.56026,25041.39811
30688.6776,651.517654,21914.28931,25501.74092
31763.54064,1322.663636,23114.14478,25954.44424
33881.83127,2645.327273,23732.1855,26260.44397
34587.92815,3086.215152,23799.5947,26559.47581
34234.87971,2865.771212,23368.49629,26802.42869
33599.39252,2468.972121,22548.05517,27038.03589
33034.51502,2116.261818,21242.42805,26997.99148
32752.07627,1939.906667,19418.35805,26950.55943
32469.63752,1763.551515,17276.04625,26669.493
32187.19876,1587.196364,15060.98404,26380.82905
31904.76001,1410.841212,12868.82619,25981.18249
31622.32126,1234.486061,10572.98605,25574.4421
29927.68875,176.3551515,8328.814252,25136.22025
31410.4922,1102.219697,6308.391982,24690.35891
33881.83127,2645.327273,4568.775921,24219.69018
36706.21879,4408.878788,3086.606133,23741.42393
39530.6063,6172.430303,1867.946462,23318.18726
38471.46098,5511.098485,974.83348,22887.60491
37835.97379,5114.299394,410.4562021,22594.49159
34955.09853,3315.476848,110.3588036,22293.82271
33881.83127,2645.327273,12.00201081,22149.7216
33599.39252,2468.972121,1.790875958,21997.93901
33034.51502,2116.261818,0.816890788,21947.61066
32187.19876,1587.196364,0.062837753,21889.85269
31622.32126,1234.486061,0,21634.52068
31057.44376,881.7757576,0,21496.75818
