demand_80,solar,wind,V2G_80
58775.42256,0,21465.02096,11297.55006
61599.81008,0,21349.50501,14121.93758
63012.00383,0,21368.05808,15534.13133
65836.39135,0,21378.30004,18358.51885
67248.58511,0,21412.55187,19770.71261
67954.68198,0,21440.04567,20476.80948
69366.87574,0,21456.03825,21889.00324
69719.92418,0,21464.4333,22242.05168
70709.16591,0,21497.67772,23231.29341
65836.39135,0.80118135,21523.70239,18358.51885
61599.81008,34.73356793,21539.82089,14121.93758
54538.84129,220.3405806,21548.25792,7060.968788
48890.06626,664.3678522,21543.72459,1412.193758
50302.26002,1479.106447,21531.34189,2824.387515
51008.35689,2764.468393,21623.77144,3530.484394
53832.74441,4537.954003,21709.10716,6354.871909
54538.84129,6801.652633,22207.31167,7060.968788
52067.50221,9526.533241,22698.38038,4589.629712
51361.40533,12491.83109,23256.73546,3883.532833
55103.71879,15350.85459,23808.08066,7625.846291
52420.55065,17939.06309,24428.34926,4942.678152
49596.16314,20156.56026,25041.39811,2118.290636
48521.3001,21914.28931,25501.74092,1043.427602
49596.16314,23114.14478,25954.44424,2118.290636
51714.45377,23732.1855,26260.44397,4236.581273
52420.55065,23799.5947,26559.47581,4942.678152
52067.50221,23368.49629,26802.42869,4589.629712
51432.01502,22548.05517,27038.03589,3954.142521
50867.13752,21242.42805,26997.99148,3389.265018
50584.69877,19418.35805,26950.55943,3106.826267
50302.26002,17276.04625,26669.493,2824.387515
50019.82126,15060.98404,26380.82905,2541.948764
49737.38251,12868.82619,25981.18249,2259.510012
49454.94376,10572.98605,25574.4421,1977.071261
47760.31125,8328.814252,25136.22025,282.4387515
49243.1147,6308.391982,24690.35891,1765.242197
51714.45377,4568.775921,24219.69018,4236.581273
54538.84129,3086.606133,23741.42393,7060.968788
57363.2288,1867.946462,23318.18726,9885.356303
56304.08348,974.83348,22887.60491,8826.210985
55668.59629,410.4562021,22594.49159,8190.723794
52787.72103,110.3588036,22293.82271,5309.848528
51714.45377,12.00201081,22149.7216,4236.581273
51432.01502,1.790875958,21997.93901,3954.142521
50867.13752,0.816890788,21947.61066,3389.265018
50019.82126,0.062837753,21889.85269,2541.948764
49454.94376,0,21634.52068,1977.071261
48890.06626,0,21496.75818,1412.193758
