,Available,Charging
0,38058,300
1,37429,336
2,36710,409
3,35896,397
4,35196,355
5,34570,337
6,33866,392
7,33105,410
8,32385,360
9,31686,389
10,30956,378
11,30249,387
12,29436,422
13,28604,446
14,27869,372
15,27095,400
16,26332,405
17,25576,390
18,24784,414
19,24061,411
20,23215,444
21,22437,420
22,21692,389
23,20998,361
24,20343,369
25,19567,406
26,18839,396
27,18077,389
28,17295,402
29,16551,365
30,15835,372
31,15198,347
32,14488,355
33,13801,375
34,13100,387
35,12408,375
36,11671,388
37,10973,358
38,10240,366
39,9529,387
40,8803,403
41,8146,358
42,7470,382
43,6756,364
44,6006,374
45,5324,373
46,4593,386
47,3824,396
48,3072,388
49,2376,349
50,1780,316
51,1065,359
52,514,268
53,163,151
54,22,66
55,5,6
56,3,0
